id,Vertices,Parameter,Probability,Creation Time,Analysis Time,Timestamp,Time Limit,Exit via Timeout
103,60,50,0.6,7.3468,60.8997,10:32:17,300s,False
104,60,70,0.6,8.226,60.7733,10:33:31,300s,False
105,60,50,0.6,6.7072,42.0227,10:37:40,300s,False
106,60,70,0.6,7.6152,39.1191,10:38:29,300s,False
107,60,72,0.6,6.3881,41.4377,10:39:20,300s,False
108,60,74,0.6,6.1854,38.4412,10:40:07,300s,False
109,60,76,0.6,6.4805,300.8849,10:45:19,300s,True
110,60,50,0.6,6.1982,300.8645,10:53:14,300s,True
111,50,14,0.2,3.0378,17.262,13:15:54,1100s,False
112,50,16,0.2,3.2024,340.0219,13:21:37,1100s,False
113,50,17,0.2,3.2232,20.6151,13:22:01,1100s,False
114,50,18,0.2,3.4416,15.917,13:22:20,1100s,False
115,50,19,0.2,2.684,21.4469,13:22:44,1100s,False
116,50,20,0.2,4.0987,20.6197,13:23:09,1100s,False
117,50,13,0.21,3.1894,1100.9476,13:41:33,1100s,True
118,50,15,0.21,5.2038,34.7371,13:42:13,1100s,False
119,50,16,0.21,5.1294,1100.457,14:00:39,1100s,True
120,50,17,0.21,4.1775,1100.3477,14:19:04,1100s,True
121,50,12,0.3,2.1866,1100.2262,15:08:51,True,1100s
122,50,12,0.31,2.9217,486.5995,15:17:00,False,1100s
123,50,12,0.32,2.3235,1100.3128,15:35:23,True,1100s
124,50,12,0.33,2.5392,16.1898,15:35:42,False,1100s
125,50,12,0.34,2.6316,15.4291,15:36:00,False,1100s
126,50,12,0.35,2.476,1100.3969,15:54:23,True,1100s
127,50,12,0.36,2.4691,146.4818,15:56:52,False,1100s
128,50,12,0.38,6.4294,1100.2805,16:15:18,True,1100s
129,50,12,0.39,2.0445,1100.6698,16:33:41,True,1100s
130,50,12,0.4,3.3271,15.6578,16:34:00,False,1100s
